Age,Income,Gender,Education,PurchaseAmount,Membership,Churn
56,35903.31,Male,PhD,739.87,Platinum,1
69,63051.95,Female,Bachelor,490.69,Bronze,0
46,48654.74,Other,Bachelor,233.85,Silver,0
32,38666.19,Male,Bachelor,25.9,Silver,0
60,50301.41,Female,PhD,493.74,Gold,0
25,43776.78,Female,PhD,243.57,Bronze,0
38,85307.12,Other,Bachelor,1376.53,Silver,1
56,73224.6,Female,PhD,390.43,Platinum,0
36,59880.41,Male,PhD,1403.81,Bronze,0
40,82199.16,Female,PhD,124.54,Silver,0
28,61160.52,Male,Bachelor,646.81,Bronze,0
28,47080.74,Female,Bachelor,480.19,Platinum,0
41,82846.86,Other,Bachelor,672.4,Silver,0
53,68083.65,Male,PhD,120.82,Gold,0
57,44441.31,Female,Bachelor,546.8,Gold,0
41,57144.92,Female,PhD,344.62,Bronze,0
20,46865.73,Female,High School,679.0,Platinum,0
39,39258.0,Male,PhD,198.04,Silver,0
19,73892.66,Male,Master,1103.9,Platinum,1
41,88641.25,Male,Bachelor,44.03,Silver,1
61,39021.49,Other,Bachelor,823.02,Bronze,1
47,68444.54,Other,Master,987.79,Silver,0
55,50240.36,Male,PhD,849.82,Platinum,0
19,52693.12,Female,High School,359.46,Platinum,0
38,51114.09,Other,Master,288.47,Bronze,0
50,47040.14,Male,Master,2794.64,Platinum,0
29,60727.82,Female,PhD,130.14,Silver,0
39,47535.75,Other,Bachelor,395.79,Bronze,0
61,64056.85,Female,PhD,555.36,Silver,0
42,59246.43,Female,Master,603.43,Platinum,1
66,56415.78,Female,Master,114.09,Bronze,0
44,46386.55,Female,Bachelor,530.65,Silver,1
59,51348.43,Other,Bachelor,852.89,Platinum,0
45,71330.87,Other,Bachelor,25.66,Platinum,0
33,67513.76,Other,PhD,1212.5,Gold,0
32,45336.67,Male,Bachelor,14.97,Platinum,0
64,61489.98,Other,Master,220.01,Silver,1
68,71270.81,Female,Master,7.97,Bronze,1
61,34958.92,Other,High School,40.14,Gold,0
69,68150.4,Female,PhD,1210.51,Platinum,0
20,50060.64,Male,High School,219.14,Platinum,1
54,68558.98,Female,Master,276.49,Platinum,0
68,48551.11,Female,High School,121.26,Silver,1
24,32926.77,Female,Master,454.53,Gold,0
38,35586.86,Male,High School,451.69,Silver,0
26,60721.27,Other,Bachelor,232.77,Gold,0
56,63895.84,Other,High School,202.51,Bronze,0
35,46435.25,Male,Bachelor,1081.26,Silver,0
21,69578.89,Female,Bachelor,241.67,Silver,0
42,35077.2,Other,PhD,340.12,Bronze,0
31,59008.8,Male,Bachelor,166.55,Gold,0
67,41834.76,Other,Bachelor,772.69,Platinum,0
26,50222.46,Male,High School,253.29,Bronze,0
43,60710.98,Female,Master,360.37,Platinum,0
19,47093.8,Other,PhD,146.08,Platinum,0
37,54231.67,Male,Bachelor,2197.44,Bronze,0
45,75094.39,Other,PhD,172.3,Gold,1
64,51346.62,Other,High School,736.45,Platinum,1
24,72535.38,Other,Bachelor,278.87,Bronze,0
61,43054.4,Other,High School,115.47,Silver,0
25,67947.06,Male,PhD,804.02,Silver,1
64,81623.53,Female,High School,202.94,Silver,1
52,22925.33,Male,PhD,1001.96,Bronze,0
31,48046.57,Male,High School,1234.07,Silver,0
34,68656.08,Male,PhD,982.43,Platinum,0
53,56954.32,Female,Master,17.82,Silver,0
67,65567.19,Other,High School,774.11,Silver,0
57,50940.22,Other,High School,264.95,Platinum,0
21,61298.85,Other,Master,1034.64,Silver,1
19,57664.84,Female,Master,507.99,Platinum,1
23,77516.73,Other,High School,896.81,Silver,0
59,63816.31,Female,Master,346.01,Platinum,0
21,65064.04,Other,Bachelor,382.89,Silver,0
46,53821.85,Other,PhD,77.97,Platinum,1
35,52685.91,Male,PhD,766.21,Bronze,0
43,53511.63,Female,PhD,271.84,Platinum,0
61,65916.78,Male,Bachelor,346.65,Silver,0
51,53685.23,Male,Master,768.79,Silver,0
27,64346.62,Male,Master,456.7,Gold,0
53,91131.01,Female,High School,112.26,Platinum,0
31,73066.87,Female,Master,446.08,Bronze,0
48,55109.65,Other,High School,261.81,Platinum,1
65,78018.21,Male,Bachelor,316.99,Platinum,1
32,53878.87,Other,PhD,14.36,Bronze,1
25,29428.13,Male,PhD,117.88,Platinum,0
31,44878.71,Female,PhD,164.97,Bronze,0
40,31938.12,Female,Master,624.07,Bronze,0
57,54727.3,Female,High School,5.78,Platinum,1
38,60276.28,Male,High School,262.78,Platinum,0
33,85146.56,Female,Bachelor,1288.69,Silver,0
62,64903.91,Male,Master,59.32,Silver,0
